store_name,address,postal_code,city,phone,chain_group,type,parent_company,apple_reseller,apple_type,products,notes,source,in_scb_extract
El-Agenten AB,Storgatan 18,568 32,Skillingaryd,,Euronics,buying_group,Euronics International (Netherlands),No,,Electronics computers TVs phones,Independent retailer — Euronics buying group member,euronics.se,No
Euronics Arvika,Palmviksgatan 9,671 30,Arvika,,Euronics,buying_group,Euronics International (Netherlands),No,,Electronics computers TVs phones,Independent retailer — Euronics buying group member,euronics.se,No
Euronics Charlottenberg,Helga Görlinsgata 1,673 32,Charlottenberg,,Euronics,buying_group,Euronics International (Netherlands),No,,Electronics computers TVs phones,Independent retailer — Euronics buying group member,euronics.se,No
Euronics Ljud & Bild Strängnäs,Eskilstunavägen 34,645 34,Strängnäs,,Euronics,buying_group,Euronics International (Netherlands),No,,Electronics computers TVs phones,Independent retailer — Euronics buying group member,euronics.se,No
Euronics Nordstan,Postgatan 26-32,411 06,Göteborg,,Euronics,buying_group,Euronics International (Netherlands),No,,Electronics computers TVs phones,Independent retailer — Euronics buying group member,euronics.se,No
Euronics Söderhamn,Kungsgatan 9,826 30,Söderhamn,,Euronics,buying_group,Euronics International (Netherlands),No,,Electronics computers TVs phones,Independent retailer — Euronics buying group member,euronics.se,No
Euronics Torsby,Tingshusgatan 9,685 30,Torsby,,Euronics,buying_group,Euronics International (Netherlands),No,,Electronics computers TVs phones,Independent retailer — Euronics buying group member,euronics.se,No
Hages Enskede,Nynäsvägen 365,122 34,Enskede,,Euronics,buying_group,Euronics International (Netherlands),No,,Electronics computers TVs phones,Independent retailer — Euronics buying group member,euronics.se,No
Hallers Radio,Södra Förstadgatan 80,214 20,Malmö,,Euronics,buying_group,Euronics International (Netherlands),No,,Electronics computers TVs phones,Independent retailer — Euronics buying group member,euronics.se,No
Perfekt Ljud & Bild i Eslöv,Norregatan 1,241 33,Eslöv,,Euronics,buying_group,Euronics International (Netherlands),No,,Electronics computers TVs phones,Independent retailer — Euronics buying group member,euronics.se,No
Perfekt Ljud & Bild i Höganäs,Triangelplatsen,263 31,Höganäs,,Euronics,buying_group,Euronics International (Netherlands),No,,Electronics computers TVs phones,Independent retailer — Euronics buying group member,euronics.se,No
Perfekt Ljud & Bild i Ängelholm,Storgatan 20,262 37,Ängelholm,,Euronics,buying_group,Euronics International (Netherlands),No,,Electronics computers TVs phones,Independent retailer — Euronics buying group member,euronics.se,No
Sjunnes,Drottninggatan 28,252 21,Helsingborg,,Euronics,buying_group,Euronics International (Netherlands),No,,Electronics computers TVs phones,Independent retailer — Euronics buying group member,euronics.se,No
AB Bert Sjödin Radio & Maskinaffär,Hornsgatan 21,832 42,Frösön,,Apple Authorized Reseller,independent_apr,,Yes,AAR,"iPhone,iPad,iPod",Apple AAR,locate.apple.com,No
Henrys El-Shop i Krokom AB,Krokomsporten,835 32,Krokom,,Apple Authorized Reseller,independent_apr,,Yes,AAR,"iPhone,iPad,iPod",Apple AAR,locate.apple.com,No
C&C Östersund,Prästgatan 23,831 31,Östersund,,Apple Authorized Reseller,independent_apr,,Yes,APR,"iPhone,Mac,iPad,Watch,iPod",Apple APR,locate.apple.com,No
POWER Gävle,Valbovägen 331,818 32,Valbo,+46 8 517 660 00,POWER,chain,Expert ASA (Norway),Yes,Authorized Reseller,"iPhone Mac iPad Watch iPod",Converted from MediaMarkt 2023,power.se,No — store location under Power Sverige AB
POWER Jönköping,Solåsvägen 4A,553 03,Jönköping,+46 8 517 660 00,POWER,chain,Expert ASA (Norway),Yes,Authorized Reseller,"iPhone Mac iPad Watch iPod",Converted from MediaMarkt 2023,power.se,No — store location under Power Sverige AB
POWER Kalmar,Ölandsleden 3,393 56,Kalmar,+46 8 517 660 00,POWER,chain,Expert ASA (Norway),Yes,Authorized Reseller,"iPhone Mac iPad Watch iPod",Converted from MediaMarkt 2023,power.se,No — store location under Power Sverige AB
POWER Växjö,Marketenterivägen 6,352 36,Växjö,+46 8 517 660 00,POWER,chain,Expert ASA (Norway),Yes,Authorized Reseller,"iPhone Mac iPad Watch iPod",Converted from MediaMarkt 2023,power.se,No — store location under Power Sverige AB
POWER Luleå,Betongvägen 1F,973 45,Luleå,+46 8 517 660 00,POWER,chain,Expert ASA (Norway),Yes,Authorized Reseller,"iPhone Mac iPad Watch iPod",Converted from MediaMarkt 2023,power.se,No — store location under Power Sverige AB
POWER Helsingborg Väla,Marknadsvägen 5,254 69,Ödåkra,+46 8 517 660 00,POWER,chain,Expert ASA (Norway),Yes,Authorized Reseller,"iPhone Mac iPad Watch iPod",Converted from MediaMarkt 2023,power.se,No — store location under Power Sverige AB
POWER Kristianstad,Häråkravägen 4,291 61,Kristianstad,+46 8 517 660 00,POWER,chain,Expert ASA (Norway),Yes,Authorized Reseller,"iPhone Mac iPad Watch iPod",Converted from MediaMarkt 2023,power.se,No — store location under Power Sverige AB
POWER Lund,Avtalsvägen 4,227 61,Lund,+46 8 517 660 00,POWER,chain,Expert ASA (Norway),Yes,Authorized Reseller,"iPhone Mac iPad Watch iPod",Converted from MediaMarkt 2023,power.se,No — store location under Power Sverige AB
POWER Malmö,Långhusgatan 3-5,215 86,Malmö,+46 8 517 660 00,POWER,chain,Expert ASA (Norway),Yes,Authorized Reseller,"iPhone Mac iPad Watch iPod",Converted from MediaMarkt 2023,power.se,No — store location under Power Sverige AB
POWER Barkarby,Enköpingsvägen 27,177 38,Järfälla,+46 8 517 660 00,POWER,chain,Expert ASA (Norway),Yes,Authorized Reseller,"iPhone Mac iPad Watch iPod",Converted from MediaMarkt 2023,power.se,No — store location under Power Sverige AB
POWER Heron City,Dialoggatan 2,141 75,Kungens Kurva,+46 8 517 660 00,POWER,chain,Expert ASA (Norway),Yes,Authorized Reseller,"iPhone Mac iPad Watch iPod",Converted from MediaMarkt 2023,power.se,No — store location under Power Sverige AB
POWER Länna,Truckvägen 2,142 53,Skogås,+46 8 517 660 00,POWER,chain,Expert ASA (Norway),Yes,Authorized Reseller,"iPhone Mac iPad Watch iPod",Converted from MediaMarkt 2023,power.se,No — store location under Power Sverige AB
POWER Mall of Scandinavia,Stjärntorget 2,169 79,Solna,+46 8 517 660 00,POWER,chain,Expert ASA (Norway),Yes,Authorized Reseller,"iPhone Mac iPad Watch iPod",Converted from MediaMarkt 2023,power.se,No — store location under Power Sverige AB
POWER Nacka,Forumvägen 12,131 53,Nacka,+46 8 517 660 00,POWER,chain,Expert ASA (Norway),Yes,Authorized Reseller,"iPhone Mac iPad Watch iPod",Converted from MediaMarkt 2023,power.se,No — store location under Power Sverige AB
POWER Täby,Attundafältet 2,183 34,Täby,+46 8 517 660 00,POWER,chain,Expert ASA (Norway),Yes,Authorized Reseller,"iPhone Mac iPad Watch iPod",Converted from MediaMarkt 2023,power.se,No — store location under Power Sverige AB
POWER Eskilstuna,Albertina Nyströms väg 2,632 22,Eskilstuna,+46 8 517 660 00,POWER,chain,Expert ASA (Norway),Yes,Authorized Reseller,"iPhone Mac iPad Watch iPod",Converted from MediaMarkt 2023,power.se,No — store location under Power Sverige AB
POWER Uppsala,Bolandsgatan 16G,753 23,Uppsala,+46 8 517 660 00,POWER,chain,Expert ASA (Norway),Yes,Authorized Reseller,"iPhone Mac iPad Watch iPod",Converted from MediaMarkt 2023,power.se,No — store location under Power Sverige AB
POWER Umeå,Marknadsgatan 5D,904 22,Umeå,+46 8 517 660 00,POWER,chain,Expert ASA (Norway),Yes,Authorized Reseller,"iPhone Mac iPad Watch iPod",Converted from MediaMarkt 2023,power.se,No — store location under Power Sverige AB
POWER Sundsvall,Gesällvägen 11,863 41,Sundsvall,+46 8 517 660 00,POWER,chain,Expert ASA (Norway),Yes,Authorized Reseller,"iPhone Mac iPad Watch iPod",Converted from MediaMarkt 2023,power.se,No — store location under Power Sverige AB
POWER Västerås,Hallsta Gårdsgata 17,721 38,Västerås,+46 8 517 660 00,POWER,chain,Expert ASA (Norway),Yes,Authorized Reseller,"iPhone Mac iPad Watch iPod",Converted from MediaMarkt 2023,power.se,No — store location under Power Sverige AB
POWER Borås,Ålgårdsvägen 11,506 30,Borås,+46 8 517 660 00,POWER,chain,Expert ASA (Norway),Yes,Authorized Reseller,"iPhone Mac iPad Watch iPod",Converted from MediaMarkt 2023,power.se,No — store location under Power Sverige AB
POWER Bäckebol,Transportgatan 19,422 46,Hisings Backa,+46 8 517 660 00,POWER,chain,Expert ASA (Norway),Yes,Authorized Reseller,"iPhone Mac iPad Watch iPod",Converted from MediaMarkt 2023,power.se,No — store location under Power Sverige AB
POWER Högsbo,Lona Knapes gata 1,421 32,Västra Frölunda,+46 8 517 660 00,POWER,chain,Expert ASA (Norway),Yes,Authorized Reseller,"iPhone Mac iPad Watch iPod",Converted from MediaMarkt 2023,power.se,No — store location under Power Sverige AB
POWER Skövde,Jonstorpsgatan 3C,549 37,Skövde,+46 8 517 660 00,POWER,chain,Expert ASA (Norway),Yes,Authorized Reseller,"iPhone Mac iPad Watch iPod",Converted from MediaMarkt 2023,power.se,No — store location under Power Sverige AB
POWER Torpavallen,Torpavallsgatan 4D,416 73,Göteborg,+46 8 517 660 00,POWER,chain,Expert ASA (Norway),Yes,Authorized Reseller,"iPhone Mac iPad Watch iPod",Converted from MediaMarkt 2023,power.se,No — store location under Power Sverige AB
POWER Örebro,Marieberg Säljarevägen 10C,702 36,Örebro,+46 8 517 660 00,POWER,chain,Expert ASA (Norway),Yes,Authorized Reseller,"iPhone Mac iPad Watch iPod",Converted from MediaMarkt 2023,power.se,No — store location under Power Sverige AB
POWER Linköping,Bonnorpsgatan 3-5,582 73,Linköping,+46 8 517 660 00,POWER,chain,Expert ASA (Norway),Yes,Authorized Reseller,"iPhone Mac iPad Watch iPod",Converted from MediaMarkt 2023,power.se,No — store location under Power Sverige AB
POWER Norrköping,Koppargatan 30,602 23,Norrköping,+46 8 517 660 00,POWER,chain,Expert ASA (Norway),Yes,Authorized Reseller,"iPhone Mac iPad Watch iPod",Converted from MediaMarkt 2023,power.se,No — store location under Power Sverige AB
Apple Täby Centrum,,183 34,Täby,+46 8 446 93 00,Apple Store,chain,Apple Inc. (USA),Yes,Apple Store (official),"iPhone Mac iPad Watch AirPods iPod",Official Apple Store,apple.com,No — store location under Apple Retail Sweden AB
Apple Mall of Scandinavia,,169 79,Solna,+46 8 525 170 00,Apple Store,chain,Apple Inc. (USA),Yes,Apple Store (official),"iPhone Mac iPad Watch AirPods iPod",Official Apple Store,apple.com,No — store location under Apple Retail Sweden AB
Apple Emporia,,215 86,Malmö,+46 40 37 10 00,Apple Store,chain,Apple Inc. (USA),Yes,Apple Store (official),"iPhone Mac iPad Watch AirPods iPod",Official Apple Store,apple.com,No — store location under Apple Retail Sweden AB
Elgiganten Östersund,Hagvägen 1B,831 48,Östersund,,Elgiganten,chain,,Yes,Apple Shop,"iPhone Mac iPad Watch iPod",Apple Apple Shop,locate.apple.com,No — store location under Elgiganten parent
Elgiganten Phonehouse Östersund,Prästgatan 47,831 34,Östersund,,Elgiganten,chain,,Yes,AAR,"iPhone iPad Watch iPod",Apple AAR,locate.apple.com,No — store location under Elgiganten parent
NetOnNet Östersund,Hagvägen 5,831 48,Östersund,,NetOnNet,chain,,Yes,AAR,"iPhone Mac iPad Watch iPod",Apple AAR,locate.apple.com,No — store location under NetOnNet AB
