# Swedish Computer Shops Database
# Generated: 2026-04-10
# License: CC-BY-4.0
# Attribution: Contains data from Bolagsverket and SCB, licensed under CC-BY-4.0
#   as EU High Value Datasets.
# Sources:
#   SCB bulk file: https://vardefulla-datamangder.bolagsverket.se/scb/scb_bulkfil.zip
#   Bolagsverket bulk file: https://vardefulla-datamangder.bolagsverket.se/bolagsverket/bolagsverket_bulkfil.zip
#   SCB Branschnyckeltal API (turnover estimates)
# Note: Sole traders excluded for privacy.
#   Turnover estimates are industry medians by SNI code, not company-specific.
#   Only active companies included. Headquarters and holding companies excluded.
org_number,company_name,legal_form,legal_form_description,registration_date,status,address,co_address,postal_code,city,municipality,county,primary_sni,primary_sni_description,all_sni_codes,all_sni_descriptions,business_description,match_method,match_confidence,b2c_b2b,shop_category,chain_group,chain_type,parent_company,ultimate_owner,classification_confidence,classification_method,matched_keyword,estimated_turnover_sek,turnover_source,turnover_year,data_source,extraction_date,data_license
165593028813,073 mobil AB,AB,Aktiebolag,20210219.0,active,KNOPVÄGEN 15,HAURA HUSSAM MAJEED,13344,SALTSJÖBADEN,,,47401,Retail: computers & peripherals,"47401,47402",Retail: computers & peripherals; Retail: software,,sni_code,high,B2C,Computer & Peripherals,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
165566350400,0day Aktiebolag,AB,Aktiebolag,20021205.0,active,STÖCKSJÖ VALLVÄG 2,KÄRRMAN,90580,UMEÅ,,,62201,,"62201,74990,47401",62201; 74990; Retail: computers & peripherals,,sni_code,high,,,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
165593317216,1Trade Group AB,AB,Aktiebolag,20210827.0,active,KUNGSGATAN 25,LCAD INVEST AB,44130,ALINGSÅS,,,47402,Retail: software,47402,Retail: software,,sni_code,high,B2C,Software,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
165568815988,42store AB,AB,Aktiebolag,20120119.0,active,TORGGATAN 8  BV,,67131,ARVIKA,,,47401,Retail: computers & peripherals,47401,Retail: computers & peripherals,,sni_code,high,B2C,Computer & Peripherals,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
165566675061,4SYSTEMS AB,AB,Aktiebolag,20041007.0,active,ALMVÄGEN 14,ANDERS ABNELL,68152,KRISTINEHAMN,,,62201,,"62201,47401",62201; Retail: computers & peripherals,,sni_code,high,,,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
165594400243,A-Z System AB,AB,Aktiebolag,20230707.0,active,MOTIONSVÄGEN 7,,92137,LYCKSELE,,,46502,Wholesale: electronic components,"46502,47403,43221,46649",Wholesale: electronic components; Retail: consumer electronics; 43221; 46649,,sni_code,high,B2B,Electronic Components (Wholesale),Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
169696604801,A. - MOBIL TELE AKUTEN HANDELSBOLAG,HB/KB,Handelsbolag / Kommanditbolag,19990716.0,active,SANKT ERIKSGATAN 35,,11239,STOCKHOLM,,,47402,Retail: software,"47402,95102",Retail: software; Repair: telecom equipment,,sni_code,high,B2C,Software,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
165562042928,A. LINDQVIST RADIO & TV AKTIEBOLAG,AB,Aktiebolag,19800101.0,active,VOLTAVÄGEN 9,,16869,BROMMA,,,47403,Retail: consumer electronics,47403,Retail: consumer electronics,,sni_code,high,B2C,Consumer Electronics,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
165561649939,A. MELLSTRÖMS ELEKTRISKA BYRÅ EFTR. AKTIEBOLAG,AB,Aktiebolag,19720101.0,active,Storgatan 15,,38230,NYBRO,,,47403,Retail: consumer electronics,"47403,47541",Retail: consumer electronics; 47541,,sni_code,high,B2C,Consumer Electronics,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
165593531261,A.E Konsult AB,AB,Aktiebolag,20211217.0,active,MATEMATIKGRÄND 23 G,ERIKSSON,90733,UMEÅ,,,85530,,"85530,77390,47403",85530; 77390; Retail: consumer electronics,,sni_code,high,,,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
165594500059,A3N AB,AB,Aktiebolag,20230929.0,active,RIBBY ALLÉ 89 B,,13742,VÄSTERHANINGE,,,43240,,"43240,47401,74130",43240; Retail: computers & peripherals; 74130,,sni_code,high,,,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
165564301041,AA-VIDEO I LINKÖPING AKTIEBOLAG,AB,Aktiebolag,19910813.0,active,GESÄLLGATAN 11,,58277,LINKÖPING,,,47403,Retail: consumer electronics,"47403,47401,77390,68203",Retail: consumer electronics; Retail: computers & peripherals; 77390; 68203,,sni_code,high,B2C,Consumer Electronics,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
165562216688,AB Görans Ljud & Bild i Klippan,AB,Aktiebolag,19821224.0,active,STENBÄRSGATAN 4,EFFEKTIV REDOVISNING I SKÅNE AB,21231,MALMÖ,,,47403,Retail: consumer electronics,"47403,95210",Retail: consumer electronics; 95210,,sni_code,high,B2C,Consumer Electronics,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
165567192827,AB NDesign Sweden,AB,Aktiebolag,20070104.0,active,VILLAGATAN 18,SVENSK KONSULTSERVICE AB,70215,ÖREBRO,,,47403,Retail: consumer electronics,47403,Retail: consumer electronics,,sni_code,high,B2C,Consumer Electronics,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
