# Swedish Computer Shops Database
# Generated: 2026-04-10
# License: CC-BY-4.0
# Attribution: Contains data from Bolagsverket and SCB, licensed under CC-BY-4.0
#   as EU High Value Datasets.
# Sources:
#   SCB bulk file: https://vardefulla-datamangder.bolagsverket.se/scb/scb_bulkfil.zip
#   Bolagsverket bulk file: https://vardefulla-datamangder.bolagsverket.se/bolagsverket/bolagsverket_bulkfil.zip
#   SCB Branschnyckeltal API (turnover estimates)
# Note: Sole traders excluded for privacy.
#   Turnover estimates are industry medians by SNI code, not company-specific.
#   Only active companies included. Headquarters and holding companies excluded.
org_number,company_name,legal_form,legal_form_description,registration_date,status,address,co_address,postal_code,city,municipality,county,primary_sni,primary_sni_description,all_sni_codes,all_sni_descriptions,business_description,match_method,match_confidence,b2c_b2b,shop_category,chain_group,chain_type,parent_company,ultimate_owner,classification_confidence,classification_method,matched_keyword,estimated_turnover_sek,turnover_source,turnover_year,data_source,extraction_date,data_license
165593028813,073 mobil AB,AB,Aktiebolag,20210219.0,active,KNOPVÄGEN 15,HAURA HUSSAM MAJEED,13344,SALTSJÖBADEN,,,47401,Retail: computers & peripherals,"47401,47402",Retail: computers & peripherals; Retail: software,,sni_code,high,B2C,Computer & Peripherals,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket,2026-04-10,CC-BY-4.0
165566350400,0day Aktiebolag,AB,Aktiebolag,20021205.0,active,STÖCKSJÖ VALLVÄG 2,KÄRRMAN,90580,UMEÅ,,,62201,,"62201,74990,47401",62201; 74990; Retail: computers & peripherals,,sni_code,high,,,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket,2026-04-10,CC-BY-4.0
165565897203,101 STOCKHOLM AKTIEBOLAG,AB,Aktiebolag,20000412.0,active,KIVRA: 556589-7203,,10631,STOCKHOLM,,,62201,,"62201,46501",62201; Wholesale: computers & peripherals,,sni_code,high,,,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket,2026-04-10,CC-BY-4.0
165594183757,11A AKTIEBOLAGET,AB,Aktiebolag,20230120.0,active,TRÄLÅSVÄGEN 11 A,WEIMIN ZHANG,42668,VÄSTRA FRÖLUNDA,,,46502,Wholesale: electronic components,"46502,70200",Wholesale: electronic components; 70200,,sni_code,high,B2B,Electronic Components (Wholesale),Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket,2026-04-10,CC-BY-4.0
165567424444,1KOMMA5 Syd AB,AB,Aktiebolag,20071108.0,active,BASARGRÄND 4,,21532,MALMÖ,,,46502,Wholesale: electronic components,"46502,43210,70200",Wholesale: electronic components; 43210; 70200,,sni_code,high,B2B,Electronic Components (Wholesale),Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket,2026-04-10,CC-BY-4.0
165593317216,1Trade Group AB,AB,Aktiebolag,20210827.0,active,KUNGSGATAN 25,LCAD INVEST AB,44130,ALINGSÅS,,,47402,Retail: software,47402,Retail: software,,sni_code,high,B2C,Software,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket,2026-04-10,CC-BY-4.0
165565039343,1space AB,AB,Aktiebolag,19941224.0,active,MALMSTENSGATAN 13,,33136,VÄRNAMO,,,46501,Wholesale: computers & peripherals,46501,Wholesale: computers & peripherals,,sni_code,high,B2B,IT Distribution (Wholesale),Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket,2026-04-10,CC-BY-4.0
165590151709,24 Timmar Online i Malmö AB,AB,Aktiebolag,20150528.0,active,SANTESSONS VÄG 5,,23261,ARLÖV,,,46502,Wholesale: electronic components,"46502,33200,80010,43210,47820",Wholesale: electronic components; 33200; 80010; 43210; 47820,,sni_code,high,B2B,Electronic Components (Wholesale),Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket,2026-04-10,CC-BY-4.0
165595530303,2Service Nordic AB,AB,Aktiebolag,20251107.0,active,BRONSYXEGATAN 4,,21375,MALMÖ,,,46502,Wholesale: electronic components,"46502,47404",Wholesale: electronic components; Retail: telecom equipment,,sni_code,high,B2B,Electronic Components (Wholesale),Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket,2026-04-10,CC-BY-4.0
165565922613,2X-COMMUNICATION AB,AB,Aktiebolag,20000601.0,active,FAKTORVÄGEN 13,,43437,KUNGSBACKA,,,26110,,"26110,46502",26110; Wholesale: electronic components,,sni_code,high,,,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket,2026-04-10,CC-BY-4.0
165569989857,2ctrl Twocontrol AB,AB,Aktiebolag,20141227.0,active,IMPORTGATAN 26,AROMA FRUKT & GRÖNT AB,42246,HISINGS BACKA,,,46502,Wholesale: electronic components,46502,Wholesale: electronic components,,sni_code,high,B2B,Electronic Components (Wholesale),Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket,2026-04-10,CC-BY-4.0
165567148720,2nd Planet AB,AB,Aktiebolag,20061109.0,active,MOBILGATAN 6,,23539,VELLINGE,,,46501,Wholesale: computers & peripherals,46501,Wholesale: computers & peripherals,,sni_code,high,B2B,IT Distribution (Wholesale),Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket,2026-04-10,CC-BY-4.0
165562206622,2printit AB,AB,Aktiebolag,19821224.0,active,KÄRRVÄGEN 11,,29159,KRISTIANSTAD,,,46501,Wholesale: computers & peripherals,"46501,33120,95101",Wholesale: computers & peripherals; 33120; Repair: computers,,sni_code,high,B2B,IT Distribution (Wholesale),Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket,2026-04-10,CC-BY-4.0
165563124493,3 S I VÄST AB,AB,Aktiebolag,19871217.0,active,GÖTEBORGSVÄGEN 89,H2 GRUPPEN,43130,MÖLNDAL,,,46501,Wholesale: computers & peripherals,"46501,62201,62202,33120,62900",Wholesale: computers & peripherals; 62201; 62202; 33120; 62900,,sni_code,high,B2B,IT Distribution (Wholesale),Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket,2026-04-10,CC-BY-4.0
165564880218,3 Step IT Sweden AB,AB,Aktiebolag,19940702.0,active,DROTTNINGGATAN 19,,58225,LINKÖPING,,,64910,,"64910,62900,46501,66190,77330",64910; 62900; Wholesale: computers & peripherals; 66190; 77330,,sni_code,high,,,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket,2026-04-10,CC-BY-4.0
165592671738,3 Step IT Trading AB,AB,Aktiebolag,20200821.0,active,DROTTNINGGATAN 19,,58225,LINKÖPING,,,46501,Wholesale: computers & peripherals,"46501,62900",Wholesale: computers & peripherals; 62900,,sni_code,high,B2B,IT Distribution (Wholesale),Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket,2026-04-10,CC-BY-4.0
165590061957,365id AB,AB,Aktiebolag,20150305.0,active,KARLSROVÄGEN 77,,30241,HALMSTAD,,,46501,Wholesale: computers & peripherals,"46501,63920",Wholesale: computers & peripherals; 63920,,sni_code,high,B2B,IT Distribution (Wholesale),Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket,2026-04-10,CC-BY-4.0
165569522849,3DD GUIDE VANE AB,AB,Aktiebolag,20131205.0,active,JUNGFRULIDEN 10,,42944,SÄRÖ,,,69102,,"69102,74110,62100,70200,46501",69102; 74110; 62100; 70200; Wholesale: computers & peripherals,,sni_code,high,,,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket,2026-04-10,CC-BY-4.0
165592420417,3Dpart Nordic AB,AB,Aktiebolag,20200214.0,active,BERGKÄLLAVÄGEN 31 C,,19279,SOLLENTUNA,,,46501,Wholesale: computers & peripherals,"46501,74110,18130,46502,74120",Wholesale: computers & peripherals; 74110; 18130; Wholesale: electronic components; 74120,,sni_code,high,B2B,IT Distribution (Wholesale),Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket,2026-04-10,CC-BY-4.0
165590021902,3V - IT AB,AB,Aktiebolag,20150205.0,active,SJÖVIKSVÄGEN 37  3TR,SUSNJAR,11758,STOCKHOLM,,,62201,,"62201,46501,86211,46170",62201; Wholesale: computers & peripherals; 86211; 46170,,sni_code,high,,,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket,2026-04-10,CC-BY-4.0
165567483069,3bits Consulting AB,AB,Aktiebolag,20080111.0,active,LILLA BOMMEN 6,,41104,GÖTEBORG,,,62100,,"62100,46501,68203",62100; Wholesale: computers & peripherals; 68203,,sni_code,high,,,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket,2026-04-10,CC-BY-4.0
165568633431,4 Safety Tullinge AB,AB,Aktiebolag,20110901.0,active,ODENGATAN,REZKALLA,11351,STOCKHOLM,,,46501,Wholesale: computers & peripherals,46501,Wholesale: computers & peripherals,,sni_code,high,B2B,IT Distribution (Wholesale),Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket,2026-04-10,CC-BY-4.0
